               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,   metrics/precision,      metrics/recall,    metrics/HBBmAP.5,metrics/HBBmAP.5:.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,               x/lr0,               x/lr1,               x/lr2
                  31,             0.11013,             0.20113,            0.040509,             0.19066,              0.4436,            0.060872,            0.039378,           0.0089275,              0.1114,             0.19243,            0.041244,             0.18991,            0.009564,            0.009564,            0.009564
                  32,             0.11134,              0.2038,            0.039992,             0.19048,             0.58827,            0.064398,            0.041121,           0.0091085,             0.11134,              0.1922,             0.03944,             0.18965,           0.0095351,           0.0095351,           0.0095351
                  33,             0.11213,             0.21525,            0.039753,              0.1903,             0.46856,            0.064669,            0.052667,            0.012826,             0.10988,             0.19886,            0.039753,             0.18957,           0.0095052,           0.0095052,           0.0095052
                  34,             0.11058,             0.21799,            0.037926,             0.18972,             0.48617,            0.082119,            0.042086,            0.010139,             0.10984,             0.19514,            0.037063,             0.18901,           0.0094745,           0.0094745,           0.0094745
                  35,             0.11017,             0.19639,            0.038524,             0.18922,             0.39481,            0.092024,              0.0387,           0.0087078,             0.11013,             0.19336,            0.039741,             0.18867,            0.009443,            0.009443,            0.009443
                  36,             0.10958,             0.19814,            0.039342,             0.18859,             0.41149,            0.096317,             0.05199,            0.012004,              0.1087,             0.19229,            0.037546,             0.18808,           0.0094106,           0.0094106,           0.0094106
                  37,             0.10991,             0.23374,            0.037742,             0.18771,             0.40406,             0.06695,            0.048539,            0.012434,             0.11178,              0.1905,            0.038645,             0.18685,           0.0093773,           0.0093773,           0.0093773
                  38,              0.1114,             0.21375,            0.036678,             0.18792,             0.26178,            0.071261,            0.026532,           0.0065762,             0.11152,             0.20545,            0.043716,             0.18754,           0.0093432,           0.0093432,           0.0093432
                  39,             0.10758,             0.21623,            0.037115,             0.18677,             0.41229,             0.10038,            0.050183,             0.01245,             0.10954,             0.19252,             0.04075,             0.18547,           0.0093083,           0.0093083,           0.0093083
                  40,             0.10875,             0.20245,            0.034372,             0.18561,             0.41557,              0.1058,            0.048177,            0.011614,             0.10856,             0.19267,            0.034441,             0.18459,           0.0092726,           0.0092726,           0.0092726
                  41,             0.10989,              0.2244,            0.034769,             0.18547,             0.61514,            0.097703,            0.063344,            0.015416,             0.10871,             0.25894,            0.035523,             0.18497,           0.0092361,           0.0092361,           0.0092361
